1,1,1,0,0,0,0,0,1,5,1,0
1,3,0,0,1,0,0,0,1,5,1,1
1,2,0,1,0,0,0,0,1,5,0,0
1,5,0,0,0,0,1,0,1,5,0,0
1,4,0,0,0,1,0,1,1,5,0,0
2,1,1,0,0,0,0,0,1,5,1,0
2,5,0,0,0,0,1,0,1,5,1,1
2,2,0,1,0,0,0,0,1,5,0,0
2,3,0,0,1,0,0,0,1,5,0,0
2,4,0,0,0,1,0,1,1,5,0,0
3,1,1,0,0,0,0,0,1,5,1,0
3,3,0,0,1,0,0,0,1,5,1,0
3,5,0,0,0,0,1,0,1,5,1,1
3,2,0,1,0,0,0,0,1,5,0,0
3,4,0,0,0,1,0,1,1,5,0,0
4,1,1,0,0,0,0,0,1,5,1,0
4,4,0,0,0,1,0,0,1,5,1,0
4,2,0,1,0,0,0,0,1,5,1,1
4,5,0,0,0,0,1,0,1,5,0,0
4,3,0,0,1,0,0,1,1,5,0,0
5,1,1,0,0,0,0,0,1,5,1,0
5,2,0,1,0,0,0,0,1,5,1,1
5,5,0,0,0,0,1,0,1,5,1,0
5,3,0,0,1,0,0,0,1,5,0,0
5,4,0,0,0,1,0,1,1,5,0,0
6,1,1,0,0,0,0,0,1,5,1,0
6,3,0,0,1,0,0,0,1,5,1,0
6,2,0,1,0,0,0,0,1,5,1,1
6,5,0,0,0,0,1,0,1,5,0,0
6,4,0,0,0,1,0,1,1,5,0,0
7,1,1,0,0,0,0,0,1,5,1,0
7,4,0,0,0,1,0,0,1,5,1,1
7,3,0,0,1,0,0,0,1,5,1,0
7,2,0,1,0,0,0,0,1,5,0,0
7,5,0,0,0,0,1,1,1,5,0,0
8,1,1,0,0,0,0,0,1,5,1,1
8,3,0,0,1,0,0,0,1,5,1,0
8,5,0,0,0,0,1,0,1,5,1,0
8,2,0,1,0,0,0,0,1,5,0,0
8,4,0,0,0,1,0,1,1,5,0,0
9,1,1,0,0,0,0,0,1,5,1,0
9,3,0,0,1,0,0,0,1,5,1,1
9,4,0,0,0,1,0,0,1,5,1,0
9,2,0,1,0,0,0,0,1,5,1,0
9,5,0,0,0,0,1,1,1,5,0,0
10,1,1,0,0,0,0,0,1,5,1,1
10,2,0,1,0,0,0,0,1,5,1,0
10,4,0,0,0,1,0,0,1,5,1,0
10,5,0,0,0,0,1,0,1,5,0,0
10,3,0,0,1,0,0,1,1,5,0,0
11,1,1,0,0,0,0,0,1,5,1,0
11,2,0,1,0,0,0,0,1,5,1,0
11,3,0,0,1,0,0,0,1,5,1,0
11,5,0,0,0,0,1,0,1,5,1,1
11,4,0,0,0,1,0,1,1,5,0,0
12,1,1,0,0,0,0,0,1,5,1,0
12,3,0,0,1,0,0,0,1,5,1,0
12,2,0,1,0,0,0,0,1,5,1,1
12,5,0,0,0,0,1,0,1,5,1,0
12,4,0,0,0,1,0,1,1,5,0,0
13,1,1,0,0,0,0,0,1,5,1,1
13,4,0,0,0,1,0,0,1,5,1,0
13,2,0,1,0,0,0,0,1,5,0,0
13,5,0,0,0,0,1,0,1,5,0,0
13,3,0,0,1,0,0,1,1,5,0,0
14,1,1,0,0,0,0,0,1,5,1,0
14,5,0,0,0,0,1,0,1,5,1,1
14,3,0,0,1,0,0,0,1,5,0,0
14,2,0,1,0,0,0,0,1,5,0,0
14,4,0,0,0,1,0,1,1,5,0,0
15,1,1,0,0,0,0,0,1,5,1,1
15,2,0,1,0,0,0,0,1,5,1,0
15,4,0,0,0,1,0,0,1,5,1,0
15,3,0,0,1,0,0,0,1,5,1,0
15,5,0,0,0,0,1,1,1,5,0,0
16,1,1,0,0,0,0,0,1,5,1,0
16,2,0,1,0,0,0,0,1,5,1,0
16,3,0,0,1,0,0,0,1,5,1,1
16,5,0,0,0,0,1,0,1,5,0,0
16,4,0,0,0,1,0,1,1,5,0,0
17,1,1,0,0,0,0,0,1,5,1,0
17,3,0,0,1,0,0,0,1,5,1,1
17,2,0,1,0,0,0,0,1,5,0,0
17,5,0,0,0,0,1,0,1,5,0,0
